Antarctica,n. 南极洲,南antar,1
altitude,n. 海拔，高度,,1
aggregate,v. 聚集,"ag(=ad 加强)+greg(group,团体)",1
adopt,v. 采用，采取；领养,,1
aristocracy,n. 贵族，上层社会,,1
burst,v. 突发，爆发,,1
assemble,v. 集合，组装,"as(ad 加强)+semble(same)=把相同的人/东西聚在一起👉集合,组装",1
diminish,v. 变少，贬低,,1
commission,"v. 委托 n. 委托, 佣金, 委员会","com+mission(任务)=共同的任务👉委托, 委员会",1
negotiate,"v. 通行，越过, 谈判",能否通行是需要谈判的,1
niche,"n. 生态位,壁龛",,1
retreat,v. 撤退 n. 撤退,,1
substantial,"adj. 大量的, 重大的",,1
shade,"n. 色度,色调 v. 遮蔽",shadow 阴影,1
shatter,v. (使) 破碎,,1
solitary,"adj. 独自的, 唯一的 n. 独居者","sol(sole, 单独的)+itary",1
succulent,adj. 多汁的,"succ(看作suck,吸) = 能吮吸的👉多汁的",1
sheet,"n. 纸张,一大片",,1
appeal,"v. 上诉, 呼吁 n.吸引力",,1
alpine,"adj. 高山的, 高海拔的",alp(alps 阿尔卑斯山)+ine,1
barter,v. 物物交易,,1
canopy,"n. 树冠,冠状物",,1
commonplace,adj. 普通的,,1
compensate,v. 抵消，补偿,,1
comprise,v. 包含，组成,,1
considerable,"adj. 相当大的, 相当多的",,1
conservative,"adj. 保守的, 守旧的",,1
conceive,"v. 怀孕,构思",,1
compromise,n. 妥协 v. 妥协,,1
conjuction,"n. 结合, 同时发生","con(together)+junct(join,参与,连接)+ion",1
crumble,"v. (使)破碎,成碎屑 v.瓦解,消亡",,1
conspicuous,adj. 明显的,con(一起)+spi(看)+cuous=大家都能看到的👉明显的,1
consolidate,"v. 合并, 巩固",con(一起)+solid(固体)+ate=成为固体👉巩固,1
court,"v. 讨好, 求偶 n. 球场, 法庭",,1
deteriorate,v. 恶化,"de(down)+terior(terror,恐怖)+ate",1
delineate,"v. 描述, 阐明 , 界定",,1
devastate,v. 破坏,"de(加强)+vast(waste, 浪费)+ate",1
deed,"n. 契约, 行为, 功绩",,1
demise,"n. 死亡, 终止","de(away)+mise(send, 发送)=不再发送消息👉死亡,终止",1
dispute,v. 争论,(diss+beautiful的),1
dismiss,"v. 解雇, 解散","dis+miss(send, 发送)",1
dispense,"v. 分配,分发,摒弃",dispenser n. 自动售货机,1
discrete,"adj. 分离的,不相关的","dis(apart)+creat(create,制造,产生)=一个一个产生的👉分离的",1
disperse,v. 散布,,1
distress,"n. 悲伤, 不幸 v.使悲伤",,1
disintegrate,v. 瓦解,dis(away)+integrate(整合),1
campaign,"n. 运动,战役","camp(营地, 阵营)",1
render,v. 使变得; 提供; 渲染,"渲染就是提供色彩,使变得...",1
equilibrium,n. 均衡,equili(equal)+brium(balance),1
drown,v. 淹死,/draʊn/ dr(drink)+own,1
elicit,v. 引出,"e(ex, out)+licit(lead,引领👉引出",1
entail,"v. 关联,牵涉","en(加强)+tail(尾巴)=尾巴搅在一起👉关联,牵涉",1
ethic,n. 伦理,谐音('爱思考'),1
embody,"v. 体现,使具体化","em(加强)+body(身体)👉体现,使具体化",1
endeavor,n. 努力 v. 努力,,1
terrace,"n. 梯田, (房屋或餐馆外的)露天平台, 阳台",,1
ambient,"adj. 周围的, 环绕的",ambi(around 环绕)+ent,1
amphibian,n. 两栖动物,amphi(both)+bi(life)+an,1
anthropology,n. 人类学,,1
archaeology,n. 考古学,,1
bladder,n. 膀胱,bla(blow)+dder = 能吹起来的东西,1
biology,n. 生物学,"bio(life, 声明)",1
biography,n. 传记,"graph(画,写)",1
Fahrenheit,n. 华氏温度,/ˈfærənˌhaɪt/,1
expanse,n. 面积，幅员，跨度,"ex(out)+pan(pand,spread扩展)+se",1
feasible,adj. 可行的,,1
feat,n. 壮举,,1
expertise,n. 专业技术,expert(专家)+ise,1
execute,v. 执行， 处死,,1
excavate,v. 挖掘,ex(out)+cav(cave洞)+ate,1
extermination,n. 消灭， 根绝,ex(out)+term(期限，边界)+ination,1
fuse,v. 熔化， 结合,(flow 流动),1
flush,"adj. 齐平的 v. 冲走，驱逐出, 脸红",(flow 流动),1
forage,n. 草料 v.觅食，搜寻,fodder 草料,1
furnish,v. 装备 v.提供，供给,furniture 家具,1
fraction,n. 一小部分，微量 n. 分数,,1
fulfil,v. 实现，履行,,1
frigid,adj. 寒冷的,"frig(fridge, 冰箱)+id",1
flora,n. 植物群落,"flora(flower, 花)",1
fidelity,n. 忠诚，精确,"fid(faith,信仰)+elity",1
fluctuate,v. 波动，起伏,"fluct(flow,流动)+uate",1
glide,v. 滑行，滑翔,,1
impulse,n. 冲动，脉冲,,1
graphic,adj. 图案的， 形象的，生动的,,1
hollow,adj. 空的 n. 凹陷,,1
illuminate,v. 照亮,"il(加强)+lumi（light,光）+nate",1
hundredfold,adj. 百倍的,,1
inadvertent,adj. 无意的， 故意的,"in(not)+advert(advertise,广告, 引起注意)+ent",1
impersonal,adj. 非个人的，冷酷的， 不友好的,,1
implement,v. 实施 n. 工具，器具,,1
handedness,n. 用手习惯,,1
imagery,n. 意向,,1
bronze,n. 青铜,,1
brass,n. 黄铜,,1
commemorate,v. 纪念,,1
compelling,adj. 引起兴趣的，有说服力的,,1
ingenious,adj. 有创意的,,1
larva,n. 幼虫,(lover 形似larva) 幼虫是昆虫爱情的结晶,1
institute,"n. 研究所,学院",,1
lane,"n. 航线, 车道, 小巷",,1
divert,"v. 转向, 绕道",,1
desirable,adj. 令人向往的,,1
mold,n. 模具 v. 塑造,,1
mutual,adj. 相互的,,1
motif,n. 主题， 主旨；图案，式样,"motif(motive, 动机)👉主题，主旨 👉图案，式样",1
march,v. 前进，行进,三月（March）行军,1
,n. 前进，行进；进行曲,,1
miniature,n. 微型画；小型的，微小的,"mini+ature(creature,创造)👉微型画",1
meager,adj. 量少质差的,"meager meal 粗茶淡饭,1
meager earngings 微薄的收入",1
Martian,adj. 火星的,,1
neat,adj. 整洁的,(nice 美好的）,1
moderate,adj. 适度的，温和的,"moder(measure, 测量)+ate",1
molecule,n. 分子,mole 痣,1
methane,n. 沼气,meth(marsh)+ane👉沼气,1
monumental,adj. 重要的，意义深远的,monument 纪念碑,1
obscure,v. 隐藏，掩盖,ob(over 覆盖),1
obliterate,v. 抹去，覆盖,ob(over覆盖),1
Neolithic,adj. 新石器时代的,"Neo(new, 新的)+lith(石头)+ic",1
Paleolithic,adj. 旧石器时代的,Paleo(老的，旧的)+lith(石头)+ic,1
ooze,n. 泥浆，稀泥 v. 渗出,,1
nocturnal,adj. 夜间的,"noct(night, 晚上)+urnal",1
Neptune,n. 海王星,,1
buoyant,adj. 愉快且自信的， （价格等）上涨的，有浮力的,a buoyant economy 欣欣向荣的经济,1
pigment,n.颜料,,1
Pacific,n. 太平洋,,1
override,v. 比...更重要,,1
peculiar,adj. 奇怪的，独特的,,1
overwhelm,v. 彻底战胜，压制，淹没,,1
patron,"n. 赞助人 ",,1
perspective,n. 角度，观点，透视画法,,1
preliminary,adj. 预备的 n.初步措施,"pre+limin(limit,界限)+ary=边界之前👉预备的，初步措施",1
plaster,n. 灰泥,plaste 面团，浆糊，膏,1
plough,v. 犁，耕,,1
precipitate,v. 促成，加速...的发生,,1
posture,n. 姿势，态度,"post(put, 放置)",1
plummet,v. 暴跌， 速降,,1
premiere,n. 首映，首次公演,,1
pit,n. 深坑，矿井,,1
pulverize,v. 粉碎,,1
porminent,adj. 突出的，卓越的,"pro(forward)+min(miss,发送)+ent",1
prone,adj. 易于...的，有做...倾向的,,1
prolong,v. 延长,,1
propagate,v. 传播，繁殖,"propa(propel,推进)+gate(大门)",1
proliferate,v. 激增， 繁殖,,1
propulsion,n. 推进力,"pro(forward, 向前)+pul(push, 推动)",1
recede,v. 逐渐远离,"re(back,回来)+cede(go,走)",1
radical,"adj. 根本的, 激进的,彻底的",radi(root)+cal,1
realization,"n. 领悟,领会",,1
rear,adj. 后部的 v.抚养,"r+ear 耳朵的后面就是背后, 在后面👉抚养",1
restless,adj. 焦躁不安的,rest+less(否定后缀),1
requisition,n. 征用,requis(require)+ition,1
"retrieve ",v.恢复,,1
savanna,n. 热带大草原,,1
scatter,"v. 散播 n. (散落的)堆,摊",,1
scarce,adj. 缺乏的,scant 缺乏的,1
scant,adj. 缺乏的,都需要scan了肯定是缺乏的,1
row,"n. 一行, 激烈争吵 v. 划(桨)",,1
sensory,"adj. 感觉的,感官的",,1
delineate,v. 描述,de(加强)+line(线条)+ate,1
prominent,"adj. 杰出的,显著的,突出的",pro(向前)+min(范围)+ent,1
protrude,v. 突出,"pro+tru(""出"")+de",1
consequent,adj. 作为结果的,,1
peculiar,adj. 奇怪的；独特的,"(""皮扣脸"")👉奇特的,独特的",1
patron,n. 赞助人,pa(pay)+tron,1
plummet,"v. 暴跌, 速降",plumb 铅锤,1
shrine,"n. 圣地, 神龛; 具有重要意义的地方",,1
shaft,"n. 杆, 柄","(""吓唬他"")=用杆子吓唬他",1
shoot,"n. 芽, 幼苗",,1
shroud,v. 覆盖 n. 覆盖物,"(""尸绕的"")",1
slush,n. 雪泥,,1
silt,n. 淤泥，泥沙,salt 盐,1
soar,v. 翱翔， 滑翔；急升,"(""嗖""地一下)",1
simulate,v. 模拟,"simul(similar,类似)",1
soak,v. 浸透,"(""授课"")=浸泡在知识的海洋里👉浸透",1
sparse,adj. 稀少的,spare 备用的,1
spine,n. 脊柱,,1
wilt,v. 枯萎， 失去自信,,1
retard,v. 阻碍，减缓,,1
stunt,n. 噱头 v. 阻碍...的发展,,1
spray,n. 喷雾,sp+ray=射线一样喷👉喷雾,1
shed,v. 脱落,shit v. 排泄,1
chronological,adj. 按年代顺序的,,1
concer,v. 同意，同时发生,,1
constitution,n. 组成，构成 n. 宪法,,1
constituenr,"n. 成分, 要素",,1
covert,adj. 暗中的,,1
contaminate,v. 弄脏，污染,,1
crevasse,n. 大裂缝,,1
creek,n. 小溪,,1
deliberate,adj. 故意的 v. 仔细思考,,1
denominator,n. 分母,,1
deflect,v. 转移， 引开；使偏移,,1
decipher,v. 破解,,1
detriment,n. 伤害,de(away)+trim(剪，削)+ent,1
desiccate,v. 使干燥,,1
desperate,adj. 绝望的,,1
desolate,adj. 荒芜的 v. 使悲伤绝望,,1
despondent,adj. 丧气的,"de(away)+spond(respond,应答)+ent",1
descendant,n. 后裔,descend(下降)+ant,1
devotion,n. 奉献，热量,,1
disdain,v. 蔑视,dis(diss)+dain(眈),1
disposal,n. 处理，清除,dis(away)+pos(put，放置)+al处理，清除,1
discern,v. 察觉，分辨,"dis(aprt)+cern(seen, 看到的)",1
edifice,n. 大厦,（'挨地会死'）,1
dwindle,v. 减少，缩小,"d(die,死)+wind（风）+le",1
endotherm,n. 恒温动物,endo(inside)+therm(热),1
endorse,v. 签署；认可，支持,en(in)+dorse,1
encyclopedia,n. 百科全书,en(in)+cyclo(cycle圈，全)+pedia(教育，知识),1
eligible,erratic,adj. 不规则的,1
erratic,adj. 不规则的,erra(error 差错)+tic👉不规则的,1
enzyme,n. 酶,,1
epitome,"n. 典型,典范,摘要","(""一批特美"")",1
extrinsic,"adj. 外在的,外来的",,1
esteem,n. 尊重,,1
exert,"v. 发挥, 运用",,1
faint,"n. 头昏,昏倒",,1
etching,n. 蚀刻版画,"etch(腐蚀,谐音""爱吃"")+ing",1
domesticate,v. 驯养,"domestic(养在家里的,dome,屋顶)+cate ",1
drench,v. 使湿透,,1
deity,"n. 神,神性",,1
divine,adj. 神圣的,"div(deity,神性)+ine",1
egocentric,adj. 自我中心的,ego(自我)+centric(中心的),1
disaffection,n. 不满， 疏离,,1
diplomacy,n. 外交,,1
disposal,n. 处理，清除,,1
desolate,adj. 荒芜的 v. 使悲伤绝望,,1
desiccate,v. 使干燥,,1
descent,n. 血统， 下降,,1
desperate,adj. （因绝望）不顾一切的， 十分渴望的,,1
detract,v. 减损， 损毁，贬低,de(away)+tract(拉),1
despondent,adj. 丧气的,,1
default,n. 默认；v. 拖欠，违约,defaulter 不履约者,1
deluge,"n. 暴雨, 泛滥，大量","(""得流着"")",1
denominator,n. 分母,,1
flee,v. 逃走,,1
foul,adj. 肮脏的,,1
formidable,adj. 可怕的,for(因为)+mid(疯狂的)+able,1
gauge,n. 测量仪器 v. 精确测量,a fuel gauge 燃料表,1
glassy,n. 像玻璃一样的，光亮透明的,,1
germinate,v. 发芽,,1
gratify,v. 使高兴,,1
glucose,n. 葡萄糖,,1
goof,v. 犯愚蠢错误,goo(go)+f(foolish，愚蠢的),1
gratify,v. 使高兴，使满足,,1
goodness,n. 善良，美德,,1
gravel,n. 沙砾，砾石,,1
demolish,v. 破坏，拆除,"de(away)+mol(mold,模型)+ish",1
discern,v. 察觉，分辨,,1
deprecate,v. 抗议，反对,,1
endow,v. 给与，赠与,,1
entwine,v. 盘绕，缠绕，与...密切相关,,1
escalate,v. 升级， 加重,"e(加强)+scal(scale,攀登)+ate",1
faint,adj. 微弱的 v.头昏，昏倒,,1
cramped,adj. 狭窄的，塞满的,,1
devoid,adj. 空虚的，完全没有的,,1
trench,n. 沟渠,,1
drench,v. 使湿透,,1
encapsulate,vt. 简要描述，概括；用胶囊（或囊状物）装，封装,capsule 胶囊,1
eligible,adj. 合格的,,1
grocer,n. 零售商店,gross sale,1
groove,n. 沟槽,,1
halt,v. 停止,,1
gut,n. 肠道， 勇气,,1
gully,n. 溪谷，冲沟,,1
hamper,v. 妨碍，阻止,,1
guild,n. 行业，协会,,1
harp,n. 竖琴,,1
harpsicord,n. 大键琴（长得有点像钢琴）,,1
handicap,n. 残疾,,1
hasten,v. 催促，加快,haste n. 仓促，匆忙,1
hearth,"n. 壁炉, 灶台",(一闪一闪的壁炉有点像心脏heart),1
hood,n. 风帽,,1
heterogeneous,adj. 异质的，不同成分构成的,hetero(different)+gene(基因)+ous,1
heyday,n. 全盛期,,1
heliocentric,adj. 以太阳为中心的,,1
heredity,n. 遗传,,1
hostile,adj. 敌对的，不友好的,,1
humble,adj. 卑微的；谦虚的,,1
hull,n. 船体；外壳,,1
ignite,v. 点燃,ignitor n. 点火器，打火机,1
hypothetical,adj. 假设的,,1
illiterate,adj. 文盲的,,1
hysterical,adj. 歇斯底里的,"hysteri(""歇斯底里"")+cal",1
immense,adj. 巨大的,,1
illusory,adj. 幻觉的,,1
impetus,n. 动力,"im(加强)+pet(""拍打"")+us(我们)",1
imperative,adj. 紧要的,,1
mortal,adj. 终有一死的 n. 凡人,,1
immortal,adj. 不朽的,,1
empire,n. 帝国,,1
imperial,adj. 帝国的,,1
impending,adj. 即将发生的,"im(to)+pend(hang,悬挂)+ing",1
ideological,adj. 意识形态的,,1
illiterate,adj. 文盲的,"il(no,不)+literate(读写的)",1
empirical,adj. 经验主义的,"empiri(experience,经验)+cal经验主义的",1
ethnic,adj. 种族的,,1
congruous,"adj. 一致的,协调的",,1
indigenous,adj. 本土的,indi(indian 印第安+gen+ous=印第安是本土美洲人,1
influx,n. 大量涌入,"in(into)+flux(flow,流)",1
inferior,"adj. 次等的,劣等的",,1
innate,adj. 先天的,in(加强)+nate(native),1
informant,n. 告密者,inform(告知)+ant,1
inhale,v. 吸入,,1
impenetrable,adj. 不能穿过的，不能理解的,"im(not)+penetra(penetrate,穿，刺)",1
gripe,n. 抱怨,grape 葡萄=吃不到葡萄就抱怨葡萄酸,1
guild,n. 行业，协会,,1
handful,n. 一把的量,a handful of coins 一把硬币,1
,,a handful of people 几个人,1
intervene,v. 介入，干预,,1
intrigue,v. 引起好奇,,1
intricate,adj. 复杂的,,1
intimate,adj. 亲密的,,1
interstellar,adj. 星际间的,,1
interplanetary,adj. 行星间的,,1
invariably,adv. 始终不变地,,1
internship,n. 实习,,1
intrinsic,adj. 内在,,1
latitude,n. 纬度,,1
leaflet,n. 嫩叶；传单,,1
legible,adj. （字迹）清晰的，易读的,"leg(lect,lecture 演讲)+ible",1
legitimate,adj. 合法的,"leg(law, 法律)+itimate",1
keen,adj. 敏锐的，热心的,(can 能) 本身能才有资本热心,1
kinship,n. 亲属关系,"kin(kind, 同类,亲属)+ship(状态,关系)",1
jagged,adj. 锯齿状的,"jagg(""吱嘎""的割锯声)+ed",1
jot,"v. 快速写下 n. 少量,少许",dot 点= 快速写下,1
diffusion,"v. 扩撒, 传播",,1
exceedingly,"adv. 极其,非常",,1
superseded,adj. 被取代的,,1
game,n. 猎物,,1
plight,n. 困境,,1
encroach,"v. 逐步侵犯,蚕食 ",,1
typically,"adv. 典型的,通常情况下",,1
gratify,"v. 使高兴, 使满足",,1
garrison,n. 卫戍部队,,1
germ,"n. 芽孢, 胚胎; 微生物,细菌",,1
fortification,n. 加固 ;碉堡；围墙；炮台；防御工事,,1
fort,"n. 要塞,堡垒,城堡",,1
lopsided,adj. 不平衡的,,1
lobe,n. 身体器官的叶,,1
locomotive,n. 机车，火车头,loco(place 位置)+motive(运动的),1
locale,"n. 事件发生的现场, 地点",,1
lossen,v. 放松,,1
locomotion,n. 运动,,1
magma,n. 岩浆,,1
maneuver,v. 控制，操纵,,1
mantle,n. 地幔，覆盖层,,1
malfunction,n. 故障 v. 出现故障,mal(坏的)+function(功能),1
manifest,v. 表明,mani(manu 手工)+fest(strike 击打)=都用手敲打了还不是表明吗,1
makeshift,adj.  临时替代的; 权宜的,make+shift(轮班),1
mainstay,n. 中流砥柱,,1
melodious,adj. 韵律优美的,melod(melody 旋律)+ious,1
meteorite,n. 陨石,"meteor(流星)+ite(site, 地点)",1
mercantitle,adj. 商业的,mercant(market 市场)+ile,1
meteor,n. 流星,,1
medieval,adj. 中世纪的,,1
metallic,adj. 金属的,,1
metabolism,n. 新陈代谢,"meta(change 变化)+bol(bio, 生命)+ism",1
mediocre,adj. 平庸的,medi(middle 中间的)+ocre,1
merchandise,n. 商品,,1
meteoroid,n. 流星体,,1
mediate,"v. 调解, 斡旋",,1
microbe,n. 微生物,,1
nominate,v. 提名,,1
oblige,"v. 强迫, 迫使",,1
obedience,n. 顺从,,1
nomadic,adj. 游牧的,,1
nonetheless,adv. 然而,nevertheless 然而,1
notation,n. 符号,,1
oblige,"v. 强迫, 迫使",,1
nurture,v. 培育,,1
onset,"n. (坏事情的)开始,发作",on(开始)+set(发生)    onset of the disease 病情发作,1
obsession,"n. 着迷,困扰",,1
intensive,"adj. 加强的, 密集的",,1
intense,adj. 强烈的,,1
instigate,v. 煽动,"in(into)+stig(sting 刺,刺激)+ate",1
hygienic,adj. 卫生的,,1
oscillate,"v. 摆动, 波动",o+scill(scale 天平)+ate,1
outcrop,n. 露天岩石,out(出来)+crop(庄稼),1
outdo,v. 胜过；优于,,1
oasis,n. 绿洲,,1
osmosis,n. 渗透,,1
oyster,"n. 牡蛎, 蚝",,1
ostracize,"v. 排挤, 排斥","来自贝壳放逐法, oyster",1
parasite,n. 寄生物,a parasite live in paradise,1
outwit,v. 以机智胜过,out(胜出)+wit(智慧),1
overcast,adj. 阴天的,over(覆盖)+cast,1
overriding,adj. 最主要的,"over(在之上)+rid(ride, 骑, 控制)+ing",1
overt,adj. 明显的,,1
penchant,"n. 倾向, 嗜好",,1
